epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,339.268,0.86941,0.62866,1.17657,0.85226,0.86842,0.90213,0.62777,0.8185,0.65724,1.16887,0.00144145,0.00144145,0.00144145
43,347.606,0.83264,0.60656,1.16101,0.71734,0.75649,0.78369,0.53764,0.9458,0.72092,1.23756,0.00143595,0.00143595,0.00143595
44,356.524,0.86272,0.63036,1.17083,0.86925,0.75293,0.83378,0.58274,0.89354,0.64907,1.23962,0.00143045,0.00143045,0.00143045
45,365.874,0.80445,0.58966,1.14614,0.85301,0.72368,0.81875,0.5946,0.87838,0.64663,1.26445,0.00142495,0.00142495,0.00142495
46,375.703,0.82498,0.59752,1.11699,0.86866,0.7769,0.87231,0.63019,0.81696,0.62484,1.1733,0.00141945,0.00141945,0.00141945
47,384.97,0.80271,0.59515,1.13296,0.77569,0.88158,0.87079,0.62986,0.83211,0.57615,1.17618,0.00141395,0.00141395,0.00141395
48,393.883,0.8429,0.6124,1.18574,0.74292,0.8614,0.88886,0.61747,0.84901,0.63554,1.21434,0.00140845,0.00140845,0.00140845
49,402.727,0.81267,0.58343,1.15077,0.76994,0.81579,0.83106,0.59552,0.88346,0.64441,1.20476,0.00140295,0.00140295,0.00140295
50,412.846,0.80908,0.57742,1.14197,0.78482,0.88392,0.84556,0.59035,0.87403,0.59803,1.18318,0.00139745,0.00139745,0.00139745
51,421.54,0.85522,0.59477,1.20347,0.83022,0.86842,0.86232,0.60644,0.87857,0.5781,1.21859,0.00139195,0.00139195,0.00139195
52,429.557,0.78812,0.57227,1.15096,0.88459,0.81579,0.89593,0.63382,0.84733,0.70924,1.1992,0.00138644,0.00138644,0.00138644
53,438.144,0.83516,0.5653,1.17,0.88302,0.84338,0.91975,0.65634,0.86035,0.59365,1.20558,0.00138094,0.00138094,0.00138094
54,446.752,0.81396,0.58507,1.133,0.85864,0.78947,0.88044,0.62436,0.90546,0.65281,1.22006,0.00137544,0.00137544,0.00137544
55,455.393,0.82858,0.55948,1.15305,0.78432,0.93421,0.92333,0.6591,0.86404,0.58363,1.2079,0.00136994,0.00136994,0.00136994
56,463.632,0.7787,0.57157,1.10711,0.93228,0.82895,0.90689,0.67382,0.79951,0.51448,1.15165,0.00136444,0.00136444,0.00136444
57,470.879,0.79401,0.58616,1.14985,0.87638,0.88158,0.89129,0.64076,0.83844,0.53026,1.16236,0.00135894,0.00135894,0.00135894
58,479.14,0.74858,0.49951,1.09693,0.8282,0.85526,0.86598,0.62438,0.80879,0.51099,1.16132,0.00135344,0.00135344,0.00135344
59,486.982,0.81352,0.55773,1.14527,0.91148,0.84211,0.90424,0.63505,0.82522,0.54946,1.18457,0.00134794,0.00134794,0.00134794
60,494.797,0.80278,0.56914,1.15566,0.78919,0.88192,0.89921,0.63967,0.80434,0.56085,1.15718,0.00134244,0.00134244,0.00134244
61,503.707,0.79999,0.54286,1.1226,0.84416,0.84211,0.87108,0.61732,0.86007,0.56371,1.18498,0.00133693,0.00133693,0.00133693
62,511.031,0.7681,0.5337,1.12489,0.87281,0.86842,0.88574,0.63334,0.83207,0.54253,1.17521,0.00133143,0.00133143,0.00133143
63,518.854,0.79041,0.53981,1.14553,0.947,0.86842,0.94399,0.6595,0.86915,0.55437,1.21501,0.00132593,0.00132593,0.00132593
64,527.753,0.78143,0.52396,1.13051,0.8913,0.88158,0.92166,0.65238,0.81873,0.52006,1.16641,0.00132043,0.00132043,0.00132043
65,537.216,0.79339,0.52477,1.123,0.88494,0.88158,0.91987,0.6564,0.7965,0.49983,1.15717,0.00131493,0.00131493,0.00131493
66,545.742,0.76044,0.52122,1.11405,0.95835,0.82895,0.91601,0.66902,0.77217,0.52318,1.1581,0.00130943,0.00130943,0.00130943
67,555.371,0.77902,0.54837,1.11107,0.96873,0.86842,0.94151,0.6796,0.76902,0.49424,1.16363,0.00130393,0.00130393,0.00130393
68,565.434,0.80849,0.54268,1.149,0.88498,0.92105,0.9487,0.6792,0.78651,0.46724,1.16111,0.00129843,0.00129843,0.00129843
